resolution,users,p,unicity,trials,seconds
60min,2979,1,0.50024,20850,261
60min,2979,2,0.90537,105831,1517
60min,2979,3,0.96653,431981,6520
60min,2979,4,0.98236,1429381,23686
120min,2970,1,0.38827,15327,166
120min,2970,2,0.84545,49388,667
120min,2970,3,0.93542,116309,1261
120min,2970,4,0.96236,202951,2966
180min,2958,1,0.34516,11925,116
180min,2958,2,0.81515,26730,348
180min,2958,3,0.91152,40755,585
180min,2958,4,0.94211,42376,602
240min,2937,1,0.31832,9701,95
240min,2937,2,0.80121,15831,201
240min,2937,3,0.90198,16181,232
240min,2937,4,0.93555,10163,155
